Job Family,Job Profile,Job Description,Job Level,Role Group,Role Level Name,Role Group Skills,Role Level Skills
Engineering,Software Engineer,Develops and maintains software applications.,IC1,Backend,Backend IC1,"Java;Spring Boot;Microservices;SQL;Git","Java:Proficient;Spring Boot:Intermediate;SQL:Intermediate;Git:Proficient"
Engineering,Software Engineer,Develops and maintains software applications.,IC2,Backend,Backend IC2,"Java;Spring Boot;Microservices;SQL;Git;REST APIs;CI/CD","Java:Advanced;Spring Boot:Proficient;Microservices:Intermediate;SQL:Proficient;REST APIs:Proficient;CI/CD:Intermediate"
Engineering,Senior Software Engineer,Leads development projects and mentors junior engineers.,IC3,Backend,Backend IC3,"Java;Spring Boot;Microservices;SQL;Git;REST APIs;CI/CD;System Design;Agile","Java:Expert;Spring Boot:Advanced;Microservices:Proficient;System Design:Proficient;Agile:Advanced"
Engineering,Staff Software Engineer,Architects and designs complex software systems.,IC4,Backend,Backend IC4,"Java;Spring Boot;Microservices;SQL;Cloud Platforms (AWS/Azure);System Architecture;Leadership","Java:Expert;System Architecture:Advanced;Cloud Platforms (AWS/Azure):Proficient;Leadership:Proficient"
Engineering,Frontend Developer,Builds user interfaces for web applications.,IC1,Frontend,Frontend IC1,"HTML;CSS;JavaScript;React;Git","HTML:Proficient;CSS:Proficient;JavaScript:Intermediate;React:Intermediate;Git:Proficient"
Engineering,Frontend Developer,Builds user interfaces for web applications.,IC2,Frontend,Frontend IC2,"HTML;CSS;JavaScript;React;Redux;Webpack;Git","HTML:Advanced;CSS:Advanced;JavaScript:Proficient;React:Proficient;Redux:Intermediate;Git:Proficient"
Engineering,Senior Frontend Developer,Leads UI development and ensures best practices.,IC3,Frontend,Frontend IC3,"HTML;CSS;JavaScript;React;Redux;Webpack;TypeScript;Performance Optimization","HTML:Expert;CSS:Expert;JavaScript:Advanced;React:Advanced;TypeScript:Proficient;Performance Optimization:Proficient"
Engineering,Data Scientist,Analyzes complex data sets to derive insights.,IC2,Data Science,Data Science IC2,"Python;R;SQL;Machine Learning;Statistics;Data Visualization","Python:Proficient;Machine Learning:Intermediate;SQL:Proficient;Data Visualization:Proficient"
Engineering,Senior Data Scientist,Develops advanced statistical models and ML algorithms.,IC3,Data Science,Data Science IC3,"Python;R;SQL;Machine Learning;Deep Learning;Big Data Technologies (Spark/Hadoop);Statistics","Python:Advanced;Machine Learning:Proficient;Deep Learning:Intermediate;Big Data Technologies:Intermediate"
Engineering,DevOps Engineer,Manages CI/CD pipelines and infrastructure automation.,IC2,DevOps,DevOps IC2,"Linux;Docker;Kubernetes;Jenkins;AWS;Scripting (Bash/Python)","Linux:Proficient;Docker:Proficient;Kubernetes:Intermediate;AWS:Intermediate;Jenkins:Proficient"
Engineering,Senior DevOps Engineer,Designs and implements scalable and resilient infrastructure.,IC3,DevOps,DevOps IC3,"Linux;Docker;Kubernetes;Terraform;Ansible;AWS/Azure;Monitoring Tools","Linux:Advanced;Docker:Advanced;Kubernetes:Proficient;Terraform:Proficient;Monitoring Tools:Proficient"
Product,Product Manager,Defines product vision, strategy, and roadmap.,M1,Product Management,Product Management M1,"Market Research;User Stories;Agile Methodologies;Roadmapping;Communication","Market Research:Proficient;Agile Methodologies:Proficient;Roadmapping:Intermediate"
